Symbol	Name	Currency	Exchange	Instrument.Long.Name	Isin	Segment.code	Sector.code
OIG	ORYX INTERNATIONAL GROWTH FUND LD	GBX	LSE	ORD 50P	GG00B3BTVQ94	SSQ3	SQQ3
AJIT	ABERDEEN JAPAN INV TST PLC	GBX	LSE	ORD 10P	GB0003920757	SSQ3	SQQ3
MIG	MOBEUS INCOME & GROWTH 2 VCT PLC	GBX	LSE	ORD 1P	GB00B0LKLZ05	SSQ3	SQQ3
JDT	JUPITER DIVIDEND & GROWTH TRUST PLC	GBX	LSE	ORD INC SHS 8.98274742P	GB00B0M3FZ66	SSQ3	SQQ3
VEN2	VENTUS 2 VCT PLC	GBX	LSE	ORD 25P	GB00B0WCHT14	SSQ3	SQQ3
IBSA	IBIS MEDIA VCT 1 PLC	GBX	LSE	ORD 1P	GB00B0WHB612	SSQ3	SQQ3
BC12	BETTER CAPITAL PCC LD	GBX	LSE	ORD GBP1.00 (2012)	GG00B4N1RV71	SSQ3	SQQ3
BCAP	BETTER CAPITAL PCC LD	GBX	LSE	ORD GBP1.00 (2009)	GG00B5885941	SSQ3	SQQ3
AJG	ATLANTIS JAPAN GROWTH FUND LD	GBX	LSE	ORD NPV	GG00B61ND550	SSQ3	SQQ3
BSRT	BAKER STEEL RESOURCES TRUST LD	GBX	LSE	ORD NPV	GG00B6686L20	SSQ3	SQQ3
MIG1	MAVEN INCOME & GROWTH VCT PLC	GBX	LSE	ORD 10P	GB0004122858	SSQ3	SQQ3
HYNS	HAYNES PUBLISHING GROUP PLC	GBX	LSE	ORD 20P	GB0004160833	SSQ3	SQQ3
CRE	CRESTON PLC	GBX	LSE	ORD 10P	GB0004440284	SSQ3	SQQ3
UKT	THREADNEEDLE UK SELECT TRUST LD	GBX	LSE	ORD 10P	GB0004618236	SSQ3	SQQ3
INV	INVESTMENT CO PLC	GBX	LSE	ORD 50P	GB0004658257	SSQ3	SQQ3
JKX	JKX OIL & GAS PLC	GBX	LSE	ORD 10P	GB0004697420	SSQ3	SQQ3
BAV	BARONSMEAD VCT 5 PLC	GBX	LSE	ORD 10P	GB00B0YZHK97	SSQ3	SQQ3
JGC	JUPITER GREEN INVESTMENT TRUST PLC	GBX	LSE	ORD 0.1P	GB00B120GL77	SSQ3	SQQ3
BABU	BLUECREST ALLBLUE FUND LD	USD	LSE	ORD NPV USD	GB00B13YXH37	SSQ3	SQQ3
AIF	ACORN INCOME FUND LD	GBX	LSE	ORD 1P	GB0004829437	SSQ3	SQQ3
AADV	ALBION DEVELOPMENT VCT PLC	GBX	LSE	ORD 1P	GB0004832472	SSQ3	SQQ3
BSC	BRITISH SMALLER COMPANIES VCT2 PLC	GBX	LSE	ORD 10P	GB0005001796	SSQ3	SQQ3
BLP	BLUE PLANET INVESTMENT TRUST PLC	GBX	LSE	ORD 1P	GB0005327076	SSQ3	SQQ3
NTV	NORTHERN 2 VCT PLC	GBX	LSE	ORD 5P	GB0005356430	SSQ3	SQQ3
MACF	MACFARLANE GROUP PLC	GBX	LSE	ORD 25P	GB0005518872	SSQ3	SQQ3
MGHC	M&G HIGH INCOME INV TST PLC	GBX	LSE	CAP SHS 1P	GB0005532709	SSQ3	SQQ3
MGHI	M&G HIGH INCOME INV TST PLC	GBX	LSE	INC SHS 1P	GB0005532816	SSQ3	SQQ3
MGHU	M&G HIGH INCOME INV TST PLC	GBX	LSE	INC & GWTH UTS (1 INC & 1 CAP)	GB0005532923	SSQ3	SQQ3
MGHP	M&G HIGH INCOME INV TST PLC	GBX	LSE	PACKAGE UTS (1 ZERO DIV, 1 INC & 1 CAP)	GB0005533004	SSQ3	SQQ3
OAP3	OCTOPUS APOLLO VCT PLC	GBX	LSE	ORD 10P	GB00B17B3479	SSQ3	SQQ3
MIG6	MAVEN INCOME & GROWTH VCT 6 PLC	GBX	LSE	ORD 50P	GB00B1BV3Z44	SSQ3	SQQ3
AEX	AMINEX PLC	GBX	LSE	ORD EUR0.001	IE0003073255	SSQ3	SQQ3
FBH	F.B.D.HLDGS PLC	EUR	LSE	ORD EUR0.60	IE0003290289	SSQ3	SQQ3
CIFU	CARADOR INCOME FUND PLC	USD	LSE	ORD NPV (USD)	IE00B3D60Z08	SSQ3	SQQ3
INM	INDEPENDENT NEWS & MEDIA PLC	EUR	LSE	ORD EUR0.01	IE00B59HWB19	SSQ3	SQQ3
AATG	ALBION TECHNOLOGY & GENERAL VCT PLC	GBX	LSE	ORD 1P	GB0005581672	SSQ3	SQQ3
MTH	MITHRAS INV TST PLC	GBX	LSE	ORD 2P	GB0005962864	SSQ3	SQQ3
MYIB	MURRAY INTERNATIONAL TRUST PLC	GBX	LSE	'B'ORD 25P	GB0006112089	SSQ3	SQQ3
IVPU	INVESCO PERPETUAL SELECT TRUST PLC	GBX	LSE	UK EQTY SHS 1P	GB00B1DPVL60	SSQ3	SQQ3
IVPG	INVESCO PERPETUAL SELECT TRUST PLC	GBX	LSE	GLBL EQTY INC SHS 1P	GB00B1DQ6472	SSQ3	SQQ3
