Index	Symbol	Name
^GSPC	NBL	Noble Energy Inc
^GSPC	JWN	Nordstrom
^GSPC	NSC	Norfolk Southern Corp.
^GSPC	NTRS	Northern Trust Corp.
^GSPC	NOC	Northrop Grumman Corp.
^GSPC	NRG	NRG Energy
^GSPC	NUE	Nucor Corp.
^GSPC	NVDA	Nvidia Corporation
^GSPC	ORLY	O'Reilly Automotive
^GSPC	OXY	Occidental Petroleum
^GSPC	OMC	Omnicom Group
^GSPC	OKE	ONEOK
^GSPC	ORCL	Oracle Corp.
^GSPC	PCAR	PACCAR Inc.
^GSPC	PH	Parker-Hannifin
^GSPC	PDCO	Patterson Companies
^GSPC	PAYX	Paychex Inc.
^GSPC	PYPL	PayPal
^GSPC	PNR	Pentair Ltd.
^GSPC	PBCT	People's United Financial
^GSPC	PEP	PepsiCo Inc.
^GSPC	PKI	PerkinElmer
^GSPC	PRGO	Perrigo
^GSPC	PFE	Pfizer Inc.
^GSPC	PCG	PG&E Corp.
^GSPC	PM	Philip Morris International
^GSPC	PSX	Phillips 66
^GSPC	PNW	Pinnacle West Capital
^GSPC	PXD	Pioneer Natural Resources
^GSPC	PBI	Pitney-Bowes
^GSPC	PNC	PNC Financial Services
^GSPC	RL	Polo Ralph Lauren Corp.
^GSPC	PPG	PPG Industries
^GSPC	PPL	PPL Corp.
^GSPC	PX	Praxair Inc.
^GSPC	PCLN	Priceline.com Inc
^GSPC	PFG	Principal Financial Group
^GSPC	PG	Procter & Gamble
^GSPC	PGR	Progressive Corp.
^GSPC	PLD	Prologis
^GSPC	PRU	Prudential Financial
^GSPC	PEG	Public Serv. Enterprise Inc.
^GSPC	PSA	Public Storage
^GSPC	PHM	Pulte Homes Inc.
^GSPC	PVH	PVH Corp.
^GSPC	QRVO	Qorvo
^GSPC	PWR	Quanta Services Inc.
^GSPC	QCOM	QUALCOMM Inc.
^GSPC	DGX	Quest Diagnostics
^GSPC	RRC	Range Resources Corp.
^GSPC	RTN	Raytheon Co.
^GSPC	O	Realty Income Corporation
^GSPC	RHT	Red Hat Inc.
^GSPC	REGN	Regeneron
^GSPC	RF	Regions Financial Corp.
^GSPC	RSG	Republic Services Inc
^GSPC	RAI	Reynolds American Inc.
^GSPC	RHI	Robert Half International
^GSPC	ROK	Rockwell Automation Inc.
^GSPC	COL	Rockwell Collins
^GSPC	ROP	Roper Industries
^GSPC	ROST	Ross Stores
^GSPC	RCL	Royal Caribbean Cruises Ltd
^GSPC	R	Ryder System
^GSPC	CRM	Salesforce.com
^GSPC	SCG	SCANA Corp
^GSPC	SLB	Schlumberger Ltd.
^GSPC	SNI	Scripps Networks Interactive Inc.
^GSPC	STX	Seagate Technology
^GSPC	SEE	Sealed Air
^GSPC	SRE	Sempra Energy
^GSPC	SHW	Sherwin-Williams
^GSPC	SIG	Signet Jewelers
^GSPC	SPG	Simon Property Group Inc
^GSPC	SWKS	Skyworks Solutions
^GSPC	SLG	SL Green Realty
^GSPC	SNA	Snap-On Inc.
^GSPC	SO	Southern Co.
^GSPC	LUV	Southwest Airlines
^GSPC	SWN	Southwestern Energy
^GSPC	SE	Spectra Energy Corp.
^GSPC	SPGI	S&P Global, Inc.
^GSPC	SWK	Stanley Black & Decker
^GSPC	SPLS	Staples Inc.
^GSPC	SBUX	Starbucks Corp.
^GSPC	STT	State Street Corp.
^GSPC	SRCL	Stericycle Inc
^GSPC	SYK	Stryker Corp.
^GSPC	STI	SunTrust Banks
^GSPC	SYMC	Symantec Corp.
^GSPC	SYF	Synchrony Financial
^GSPC	SYY	Sysco Corp.
^GSPC	TROW	T. Rowe Price Group
^GSPC	TGT	Target Corp.
^GSPC	TEL	TE Connectivity Ltd.
^GSPC	TGNA	Tegna, Inc.
^GSPC	TDC	Teradata Corp.
^GSPC	TSO	Tesoro Petroleum Co.
^GSPC	TXN	Texas Instruments
^GSPC	TXT	Textron Inc.
^GSPC	COO	The Cooper Companies
^GSPC	HSY	The Hershey Company
^GSPC	TRV	The Travelers Companies Inc.
^GSPC	TMO	Thermo Fisher Scientific
^GSPC	TIF	Tiffany & Co.
^GSPC	TWX	Time Warner Inc.
^GSPC	TJX	TJX Companies Inc.
^GSPC	TMK	Torchmark Corp.
^GSPC	TSS	Total System Services
^GSPC	TSCO	Tractor Supply Company
^GSPC	TDG	TransDigm Group
^GSPC	RIG	Transocean
^GSPC	TRIP	TripAdvisor
^GSPC	FOXA	Twenty-First Century Fox Class A
^GSPC	FOX	Twenty-First Century Fox Class B
^GSPC	TSN	Tyson Foods
^GSPC	UDR	UDR Inc
^GSPC	ULTA	Ulta Salon Cosmetics & Fragrance Inc
^GSPC	USB	U.S. Bancorp
^GSPC	UA	Under Armour
^GSPC	UAA	Under Armour
^GSPC	UNP	Union Pacific
^GSPC	UAL	United Continental Holdings
^GSPC	UNH	United Health Group Inc.
^GSPC	UPS	United Parcel Service
^GSPC	URI	United Rentals, Inc.
^GSPC	UTX	United Technologies
^GSPC	UHS	Universal Health Services, Inc.
^GSPC	UNM	Unum Group
^GSPC	URBN	Urban Outfitters
^GSPC	VFC	V.F. Corp.
^GSPC	VLO	Valero Energy
^GSPC	VAR	Varian Medical Systems
^GSPC	VTR	Ventas Inc
^GSPC	VRSN	Verisign Inc.
^GSPC	VRSK	Verisk Analytics
^GSPC	VZ	Verizon Communications
^GSPC	VRTX	Vertex Pharmaceuticals Inc
^GSPC	VIAB	Viacom Inc.
^GSPC	V	Visa Inc.
^GSPC	VNO	Vornado Realty Trust
^GSPC	VMC	Vulcan Materials
^GSPC	WMT	Wal-Mart Stores
^GSPC	WBA	Walgreens Boots Alliance
^GSPC	DIS	The Walt Disney Company
^GSPC	WM	Waste Management Inc.
^GSPC	WAT	Waters Corporation
^GSPC	WEC	Wec Energy Group Inc
^GSPC	WFC	Wells Fargo
^GSPC	HCN	Welltower Inc.
^GSPC	WDC	Western Digital
^GSPC	WU	Western Union Co
^GSPC	WRK	WestRock Company
^GSPC	WY	Weyerhaeuser Corp.
^GSPC	WHR	Whirlpool Corp.
^GSPC	WFM	Whole Foods Market
^GSPC	WMB	Williams Cos.
^GSPC	WLTW	Willis Towers Watson
^GSPC	WYN	Wyndham Worldwide
^GSPC	WYNN	Wynn Resorts Ltd
^GSPC	XEL	Xcel Energy Inc
^GSPC	XRX	Xerox Corp.
^GSPC	XLNX	Xilinx Inc
^GSPC	XL	XL Capital
^GSPC	XYL	Xylem Inc.
^GSPC	YHOO	Yahoo Inc.
^GSPC	YUM	Yum! Brands Inc
^GSPC	ZBH	Zimmer Biomet Holdings
^GSPC	ZION	Zions Bancorp
^GSPC	ZTS	Zoetis
